     h                导数计算值             误差
0.1000000000      -2.252328087958       0.003321495209
0.0100000000      -2.255616352490       0.000033230677
0.0010000000      -2.255649250826       0.000000332341
0.0001000000      -2.255649578231       0.000000004936
0.0000100000      -2.255650111138      -0.000000527971
0.0000010000      -2.255640119131       0.000009464036
0.0000001000      -2.253752739989       0.001896843178
0.0000000100      -2.220446049250       0.035203533917
0.0000000010       0.000000000000       2.255649583167
0.0000000001  -11102.230246251564  -11099.974596668397
